W&L, Final_Score, Get_PickUp_Number, Falls_Number, Jumping_Number
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
Win,100,1,0,2
